shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,7,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,7.5,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,8,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,8.5,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,9,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,9.5,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,10,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,10.5,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,11,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,11.5,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,12,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,12.5,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,13,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,14,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max 270 React Winter,Men's Shoe,Shown: Black/Dark Grey/Metallic Silver,$94.97 ,15,https://www.nike.com/t/air-max-270-react-winter-mens-shoe-tCkNHl/CD2049-001
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,6,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,6.5,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,7,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,7.5,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,8,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,8.5,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,9,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,9.5,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,10,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,10.5,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,11,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,11.5,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,12,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
Nike Air Max Torch 4,Men's Running Shoe,Shown: Cool Grey/Black/Pure Platinum/White,$85 ,12.5,https://www.nike.com/t/air-max-torch-4-mens-running-shoe-AKTdGZxX/343846-012
