shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,8,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,8.5,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,9,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,9.5,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,10,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,10.5,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,11,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,11.5,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Jordan Delta,Women's Shoe,Shown: Vachetta Tan/Light Cream/Gym Red/Sail,$130 ,12,https://www.nike.com/t/jordan-delta-womens-shoe-6S5tNF/CT1003-200
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 8 / W 9.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 8.5 / W 10,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 9 / W 10.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 9.5 / W 11,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 10 / W 11.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 10.5 / W 12,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 11 / W 12.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 11.5 / W 13,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 12 / W 13.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 12.5 / W 14,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 13 / W 14.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 14 / W 15.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 15 / W 16.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 16 / W 17.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 17 / W 18.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
Nike Zoom Rize,Basketball Shoe,Shown: Black/Black,$104.97 ,M 18 / W 19.5,https://www.nike.com/t/zoom-rize-basketball-shoe-DNvFwL/BQ5467-002
